unit_id,received_dttm,predicted_response_time_seconds,actual_response_time_seconds,call_type,call_type_group,original_priority,unit_type,station_area,battalion,neighborhood_district,zipcode_of_incident,on_scene_dttm,raw_predict_payload,normalized_predict_payload,raw_actual_payload,normalized_actual_payload
A105,2026-01-20T14:30:18,536.115,,Medical,Alarm,3,PRIVATE,Central,B06,Downtown,94122,,"{""call_type"": ""Medical"", ""call_type_group"": ""alarm"", ""original_priority"": ""3"", ""unit_id"": ""A105"", ""unit_type"": ""private"", ""station_area"": ""Central"", ""battalion"": ""B6"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94122"", ""received_dttm"": ""2026-01-20T14:30:18""}","{""call_type"": ""Medical"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""A105"", ""unit_type"": ""PRIVATE"", ""station_area"": ""Central"", ""battalion"": ""B06"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94122"", ""received_dttm"": ""2026-01-20T14:30:18""}",,
M506,2026-01-01T17:23:10.000,811.0681,956,Medical Incident,Non Life-threatening,A,MEDIC,26,B06,Glen Park,94131,2026-01-01T17:39:06.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""A"", ""unit_id"": ""M506"", ""unit_type"": ""MEDIC"", ""station_area"": ""26"", ""battalion"": ""B06"", ""neighborhood_district"": ""Glen Park"", ""zipcode_of_incident"": ""94131"", ""received_dttm"": ""2026-01-01T17:23:10.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""A"", ""unit_id"": ""M506"", ""unit_type"": ""MEDIC"", ""station_area"": ""26"", ""battalion"": ""B06"", ""neighborhood_district"": ""Glen Park"", ""zipcode_of_incident"": ""94131"", ""received_dttm"": ""2026-01-01T17:23:10.000""}","{""unit_id"": ""M506"", ""received_dttm"": ""2026-01-01T17:23:10.000"", ""on_scene_dttm"": ""2026-01-01T17:39:06.000""}","{""unit_id"": ""M506"", ""received_dttm"": ""2026-01-01T17:23:10.000"", ""on_scene_dttm"": ""2026-01-01T17:39:06.000""}"
A105,2026-01-20T14:30:19,536.115,,Medical,Alarm,3,PRIVATE,Central,B06,Downtown,94124,,"{""call_type"": ""Medical"", ""call_type_group"": ""alarm"", ""original_priority"": ""3"", ""unit_id"": ""A105"", ""unit_type"": ""private"", ""station_area"": ""Central"", ""battalion"": ""B 6"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-01-20T14:30:19""}","{""call_type"": ""Medical"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""A105"", ""unit_type"": ""PRIVATE"", ""station_area"": ""Central"", ""battalion"": ""B06"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-01-20T14:30:19""}",,
RC3,2026-01-01T19:01:56.000,465.9764,604,Medical Incident,Potentially Life-Threatening,E,RESCUE CAPTAIN,3,B03,Tenderloin,94102,2026-01-01T19:12:00.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""E"", ""unit_id"": ""RC3"", ""unit_type"": ""RESCUE CAPTAIN"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T19:01:56.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""E"", ""unit_id"": ""RC3"", ""unit_type"": ""RESCUE CAPTAIN"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T19:01:56.000""}","{""unit_id"": ""RC3"", ""received_dttm"": ""2026-01-01T19:01:56.000"", ""on_scene_dttm"": ""2026-01-01T19:12:00.000""}","{""unit_id"": ""RC3"", ""received_dttm"": ""2026-01-01T19:01:56.000"", ""on_scene_dttm"": ""2026-01-01T19:12:00.000""}"
A155,2026-03-20T14:30:19,818.63666,2,Medical,Alarm,T,MEDIC,Central,B09,Downtown,94124,2026-03-20T14:30:21,"{""call_type"": ""Medical"", ""call_type_group"": ""ALArm"", ""original_priority"": ""T"", ""unit_id"": ""A155"", ""unit_type"": ""amb"", ""station_area"": ""Central"", ""battalion"": ""Bat 9"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:19""}","{""call_type"": ""Medical"", ""call_type_group"": ""Alarm"", ""original_priority"": ""T"", ""unit_id"": ""A155"", ""unit_type"": ""MEDIC"", ""station_area"": ""Central"", ""battalion"": ""B09"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:19""}","{""unit_id"": ""A155"", ""received_dttm"": ""2026-03-20T14:30:19"", ""on_scene_dttm"": ""2026-03-20T14:30:21""}","{""unit_id"": ""A155"", ""received_dttm"": ""2026-03-20T14:30:19"", ""on_scene_dttm"": ""2026-03-20T14:30:21""}"
E06,2026-02-19T23:21:07.000,471.7291,481,Medical Incident,Potentially Life-Threatening,3,ENGINE,11,B06,Castro/Upper Market,94114,2026-02-19T23:29:08.000,"{""unit_id"": ""E06"", ""call_type"": ""Medical Incident"", ""received_dttm"": ""2026-02-19T23:21:07.000"", ""zipcode_of_incident"": ""94114"", ""battalion"": ""B06"", ""station_area"": ""11"", ""original_priority"": ""3"", ""call_type_group"": ""Potentially Life-Threatening"", ""unit_type"": ""ENGINE"", ""neighborhood_district"": ""Castro/Upper Market""}","{""unit_id"": ""E06"", ""call_type"": ""Medical Incident"", ""received_dttm"": ""2026-02-19T23:21:07.000"", ""zipcode_of_incident"": ""94114"", ""battalion"": ""B06"", ""station_area"": ""11"", ""original_priority"": ""3"", ""call_type_group"": ""Potentially Life-Threatening"", ""unit_type"": ""ENGINE"", ""neighborhood_district"": ""Castro/Upper Market""}","{""unit_id"": ""E06"", ""received_dttm"": ""2026-02-19T23:21:07.000"", ""on_scene_dttm"": ""2026-02-19T23:29:08.000""}","{""unit_id"": ""E06"", ""received_dttm"": ""2026-02-19T23:21:07.000"", ""on_scene_dttm"": ""2026-02-19T23:29:08.000""}"
SCRT3,2026-01-10T22:08:01.000,1102.8177,1250,Medical Incident,Potentially Life-Threatening,2,CP,25,B10,Potrero Hill,94107,2026-01-10T22:28:51.000,"{""unit_id"": ""SCRT3"", ""call_type"": ""Medical Incident"", ""received_dttm"": ""2026-01-10T22:08:01.000"", ""zipcode_of_incident"": ""94107"", ""battalion"": ""B10"", ""station_area"": ""25"", ""original_priority"": ""2"", ""call_type_group"": ""Potentially Life-Threatening"", ""unit_type"": ""CP"", ""neighborhood_district"": ""Potrero Hill""}","{""unit_id"": ""SCRT3"", ""call_type"": ""Medical Incident"", ""received_dttm"": ""2026-01-10T22:08:01.000"", ""zipcode_of_incident"": ""94107"", ""battalion"": ""B10"", ""station_area"": ""25"", ""original_priority"": ""2"", ""call_type_group"": ""Potentially Life-Threatening"", ""unit_type"": ""CP"", ""neighborhood_district"": ""Potrero Hill""}","{""unit_id"": ""SCRT3"", ""received_dttm"": ""2026-01-10T22:08:01.000"", ""on_scene_dttm"": ""2026-01-10T22:28:51.000""}","{""unit_id"": ""SCRT3"", ""received_dttm"": ""2026-01-10T22:08:01.000"", ""on_scene_dttm"": ""2026-01-10T22:28:51.000""}"
T11,2026-02-22T02:33:39.000,481.89996,484,Alarms,Alarm,3,TRUCK,24,B06,Noe Valley,94114,2026-02-22T02:41:43.000,"{""unit_id"": ""T11"", ""call_type"": ""Alarms"", ""received_dttm"": ""2026-02-22T02:33:39.000"", ""zipcode_of_incident"": ""94114"", ""battalion"": ""B06"", ""station_area"": ""24"", ""original_priority"": ""3"", ""call_type_group"": ""Alarm"", ""unit_type"": ""TRUCK"", ""neighborhood_district"": ""Noe Valley""}","{""unit_id"": ""T11"", ""call_type"": ""Alarms"", ""received_dttm"": ""2026-02-22T02:33:39.000"", ""zipcode_of_incident"": ""94114"", ""battalion"": ""B06"", ""station_area"": ""24"", ""original_priority"": ""3"", ""call_type_group"": ""Alarm"", ""unit_type"": ""TRUCK"", ""neighborhood_district"": ""Noe Valley""}","{""unit_id"": ""T11"", ""received_dttm"": ""2026-02-22T02:33:39.000"", ""on_scene_dttm"": ""2026-02-22T02:41:43.000""}","{""unit_id"": ""T11"", ""received_dttm"": ""2026-02-22T02:33:39.000"", ""on_scene_dttm"": ""2026-02-22T02:41:43.000""}"
AM122,2026-01-01T01:12:32.000,411.19827,920,Medical Incident,Potentially Life-Threatening,B,PRIVATE,28,B01,North Beach,94133,2026-01-01T01:27:52.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""B"", ""unit_id"": ""AM122"", ""unit_type"": ""PRIVATE"", ""station_area"": ""28"", ""battalion"": ""B01"", ""neighborhood_district"": ""North Beach"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T01:12:32.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""B"", ""unit_id"": ""AM122"", ""unit_type"": ""PRIVATE"", ""station_area"": ""28"", ""battalion"": ""B01"", ""neighborhood_district"": ""North Beach"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T01:12:32.000""}","{""unit_id"": ""AM122"", ""received_dttm"": ""2026-01-01T01:12:32.000"", ""on_scene_dttm"": ""2026-01-01T01:27:52.000""}","{""unit_id"": ""AM122"", ""received_dttm"": ""2026-01-01T01:12:32.000"", ""on_scene_dttm"": ""2026-01-01T01:27:52.000""}"
E44,2026-02-17T17:14:44.000,499.96286,442,Alarms,Alarm,3,ENGINE,44,B10,Bayview Hunters Point,94134,2026-02-17T17:22:06.000,"{""unit_id"": ""E44"", ""call_type"": ""Alarms"", ""received_dttm"": ""2026-02-17T17:14:44.000"", ""zipcode_of_incident"": ""94134"", ""battalion"": ""B10"", ""station_area"": ""44"", ""original_priority"": ""3"", ""call_type_group"": ""Alarm"", ""unit_type"": ""ENGINE"", ""neighborhood_district"": ""Bayview Hunters Point""}","{""unit_id"": ""E44"", ""call_type"": ""Alarms"", ""received_dttm"": ""2026-02-17T17:14:44.000"", ""zipcode_of_incident"": ""94134"", ""battalion"": ""B10"", ""station_area"": ""44"", ""original_priority"": ""3"", ""call_type_group"": ""Alarm"", ""unit_type"": ""ENGINE"", ""neighborhood_district"": ""Bayview Hunters Point""}","{""unit_id"": ""E44"", ""received_dttm"": ""2026-02-17T17:14:44.000"", ""on_scene_dttm"": ""2026-02-17T17:22:06.000""}","{""unit_id"": ""E44"", ""received_dttm"": ""2026-02-17T17:14:44.000"", ""on_scene_dttm"": ""2026-02-17T17:22:06.000""}"
